scenario,search_location,hotel_name,stars_clean,district,address,room_class,room_type,bed_class,bed_type,rooms,final_price,original_price,discount_percent,rating_clean,review_count,location_clean,distance_km,free_cancel_bool,breakfast_bool,badge_clean,adults,children,total_guests,check_in
Random_5A_0C_3R,Ho Chi Minh,Nhật Bình 2,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi,Double/Large,3 giường đôi lớn,3,1050000,1050000,0,6.2,21,,4.2,1,0,No Deal,5,0,5,12/23/2025
Random_6A_1C_4R_Ages(7),Ho Chi Minh,Nhật Bình 2,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi,Double/Large,4 giường đôi lớn,4,1400000,1400000,0,6.2,21,,4.2,1,0,No Deal,6,1,7,12/23/2025
Random_5A_0C_3R,Ho Chi Minh,Nhat Binh 2 Hotel,1,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi,Double/Large,3 giường đôi lớn,3,1050000,1050000,0,7.1,53,,4.2,1,0,No Deal,5,0,5,12/23/2025
Random_6A_1C_4R_Ages(7),Ho Chi Minh,Nhat Binh 2 Hotel,1,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi,Double/Large,4 giường đôi lớn,4,1400000,1400000,0,7.1,53,,4.2,1,0,No Deal,6,1,7,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,Nhat Binh Hotel,1,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Standard/Superior,Phòng 3 Người,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",1,575000,575000,0,7.1,37,,4.2,1,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,Nhat Binh Hotel,1,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Standard/Superior,Phòng 4 Người,Double/Large,2 giường đôi lớn,1,700000,700000,0,7.1,37,,4.2,1,0,No Deal,4,0,4,12/23/2025
Random_4A_0C_2R,Ho Chi Minh,Nhat Binh Hotel,1,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,2,820000,820000,0,7.1,37,,4.2,1,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,Nhat Binh Hotel,1,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,2,985000,985000,0,7.1,37,,4.2,1,0,No Deal,5,0,5,12/23/2025
Random_4A_2C_2R_Ages(9_7),Ho Chi Minh,Nhat Binh Hotel,1,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,2,1110000,1110000,0,7.1,37,,4.2,1,0,No Deal,4,2,6,12/23/2025
Random_5A_0C_3R,Ho Chi Minh,Nhat Binh Hotel,1,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,3,1230000,1230000,0,7.1,37,,4.2,1,0,No Deal,5,0,5,12/23/2025
Random_6A_1C_4R_Ages(7),Ho Chi Minh,Nhat Binh Hotel,1,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh",Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,4,1640000,1640000,0,7.1,37,,4.2,1,0,No Deal,6,1,7,12/23/2025
Random_2A_0C_1R,Vung Tau,Nhat Ha Homestay,3,Vung Tau,Vũng Tàu,Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"6 giường (2 giường đôi, 2 giường sofa, 2 giường đôi lớn)",1,1662500,1662500,0,9.2,12,9.5,2,0,0,No Deal,2,0,2,12/23/2025
Random_1A_0C_1R,Ho Chi Minh,Nhat Ha L’Opera Hotel,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Japanese Area)",Standard/Superior,Phòng Đơn Hạng Thương gia không có Cửa sổ,Single/Twin,1 giường đơn,1,1847946,1847946,0,7.3,82,,0.6,0,1,No Deal,1,0,1,12/23/2025
Random_2A_0C_1R,Ho Chi Minh,Nhat Ha L’Opera Hotel,4,Quận 1,"Quận 1, TP. Hồ Chí Minh (Japanese Area)",Standard/Superior,Phòng Đôi Superior không có Cửa sổ,Double/Large,1 giường đôi cực lớn,1,2198482,2198482,0,7.3,82,,0.6,0,1,No Deal,2,0,2,12/23/2025
