final_name,detail_url,_parse_status,ratingValue,reviewCount,price_min,price_max,price_avg,streetAddress,addressLocality,addressCountry,lat,lng,amenities
La Doma en Adagio - Sleep and Heal,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d32976766-Reviews-La_Maison_En_Adagio_Sleep_And_Heal-Ho_Chi_Minh_City.html,ok_jsonld,5.0,46.0,631579.0,1131579.0,881579.0,"42/4a Trần Đình Xu P. Cô Giang, Q.1, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Dai Nam Boutique Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d25384801-Reviews-Dai_Nam_Boutique_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,3.4,18.0,1315789.0,4421053.0,2868421.0,"79 Đường Trần Hưng Đạo Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Cozrum Homes - Sonata Residence,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26637913-Reviews-Cozrum_Homes_Sonata_Residence-Ho_Chi_Minh_City.html,ok_jsonld,3.5,6.0,500000.0,763158.0,631579.0,"41 Nguyễn Thị Thập, Phường Tân Phú Quận 7, TP Hồ Chí Minh Quận 7, TP Hồ Chí Minh, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Khách sạn Minh Châu,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d2138985-Reviews-Minh_Chau_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.3,556.0,368421.0,500000.0,434210.5,"119 Hoa Hung street Phường 12, Quận 10, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Nhà khách Long,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1494458-Reviews-Long_Hostel-Ho_Chi_Minh_City.html,ok_jsonld,4.6,831.0,342105.0,447368.0,394736.5,"373/10 Pham Ngu Lao street Dist. 1, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
New Space Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12152514-Reviews-New_Space_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,3.9,73.0,578947.0,894737.0,736842.0,"51 Lam Son, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Victory Airport Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15698606-Reviews-Victory_Airport_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.6,41.0,526316.0,842105.0,684210.5,"96 Yên Thế Phường 2, Tân Bình, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
MerPerle Crystal Palace,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d7847003-Reviews-MerPerle_Crystal_Palace-Ho_Chi_Minh_City.html,ok_jsonld,4.3,86.0,1842105.0,3315789.0,2578947.0,"13 Nguyen Luong Bang, Tan Phu Ward, District 7, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Khách Sạn Viet Lotus Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1728179-Reviews-Viet_Lotus_Saigon_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,3.7,231.0,973684.0,1868421.0,1421052.5,"33 Cao Thang Street, Ward 2, District 3, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Coco Việt Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d19797871-Reviews-Coco_Viet_Homestay-Hoi_An_Quang_Nam_Province.html,ok_jsonld,4.8,10.0,421053.0,1631579.0,1026316.0,32A Lê Quý Đôn Cẩm Phổ,,Việt Nam,0.0,0.0,
Golden Tulip Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293928-d7735498-Reviews-Golden_Tulip_Hotel-Nha_Trang_Khanh_Hoa_Province.html,ok_jsonld,2.6,17.0,,,,"18 Le Quy Don, Nha Trang",,Việt Nam,0.0,0.0,
Azura Resort Phu Quoc,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d14781666-Reviews-Azura_Resort-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html,ok_jsonld,4.5,33.0,842105.0,2289474.0,1565789.5,"101/5 Tran Hung Dao Alley 10, Block 7, Dương Đông",,Việt Nam,0.0,0.0,
Luxury Palace Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g14776299-d21174446-Reviews-Luxury_Palace_Hotel-Ha_Long_City_H_Long_Bay_Quang_Ninh_Province.html,ok_jsonld,0.0,0.0,684211.0,921053.0,802632.0,"Phan Dang Luu Lo A20- Toa 02.03- KDT HDMON, Ha Long City",,Việt Nam,0.0,0.0,
Dumy House,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d17658315-Reviews-Dumy_House-Da_Lat_Lam_Dong_Province.html,ok_jsonld,0.0,0.0,,,,"65 Phan Nhu Thach, Đà Lạt",,Việt Nam,0.0,0.0,
Maison Lee,https://www.tripadvisor.com.vn/Hotel_Review-g298085-d17609481-Reviews-Maison_Lee-Da_Nang.html,ok_jsonld,0.0,0.0,,,,90 Tran phu,,Việt Nam,0.0,0.0,
Duc Duy Hotel Ha Long,https://www.tripadvisor.com.vn/Hotel_Review-g14776299-d24988364-Reviews-Duc_Duy_Hotel_Ha_Long-Ha_Long_City_H_Long_Bay_Quang_Ninh_Province.html,ok_jsonld,0.0,0.0,,,,"Tổ 2, Khu 6, Phường Bãi Cháy, Ha Long City",,Việt Nam,0.0,0.0,
Sun City Hotel And Casino,https://www.tripadvisor.com.vn/Hotel_Review-g312652-d306617-Reviews-Sun_City_Hotel_And_Casino-Sun_City_Moses_Kotane_Local_Municipality_North_West_Province.html,ok_jsonld,3.5,698.0,6631579.0,15815789.0,11223684.0,"R556, Sun City",,Việt Nam,0.0,0.0,
Khách Sạn Thanh Tùng,https://www.tripadvisor.com.vn/Hotel_Review-g608528-d9997029-Reviews-Thanh_Tung_Hotel-Quy_Nhon_Binh_Dinh_Province.html,ok_jsonld,4.0,10.0,,,,12-14 Tú Xương,,Việt Nam,0.0,0.0,
Riverside Houayxay Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737155-d17552398-Reviews-Riverside_Houayxay_Hotel-Huay_Xai_Bokeo_Province.html,ok_jsonld,2.5,2.0,315789.0,736842.0,526315.5,Huay Xai,,Việt Nam,0.0,0.0,
Sofitel Guangzhou Sunrich,https://www.tripadvisor.com.vn/Hotel_Review-g298555-d1901388-Reviews-Sofitel_Guangzhou_Sunrich-Guangzhou_Guangdong.html,ok_jsonld,4.8,7455.0,2578947.0,4868421.0,3723684.0,"988 Guangzhou Da Dao Zhong Tianhe District, Quảng Châu, Quảng Đông",,Việt Nam,0.0,0.0,
Rosie Hotel Dalat,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d26665375-Reviews-Rosie_Hotel_Dalat-Da_Lat_Lam_Dong_Province.html,ok_jsonld,0.0,0.0,394737.0,394737.0,394737.0,"84/2 Đường Phù Đổng Thiên Vương, Đà Lạt",,Việt Nam,0.0,0.0,
Lamui Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d23275834-Reviews-Lamui_Homestay-Da_Lat_Lam_Dong_Province.html,ok_jsonld,0.0,0.0,,,,"66 Tô Vĩnh Diện, Phường 7, Đà Lạt",,Việt Nam,0.0,0.0,
